artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,reformatted,5,1.0,0.49,0.277
code,25,truncated,5,1.0,0.503,0.378
code,25,verbatim,5,1.0,0.794,0.634
code,50,reformatted,5,1.0,0.737,0.529
code,50,truncated,5,1.0,0.876,0.808
code,50,verbatim,5,1.0,0.986,0.932
code,100,reformatted,5,1.0,0.809,0.69
code,100,truncated,5,1.0,0.871,0.45
code,100,verbatim,5,1.0,1.0,1.0
code,200,reformatted,5,1.0,0.952,0.865
code,200,truncated,5,1.0,0.88,0.4
code,200,verbatim,5,1.0,1.0,1.0
code,500,reformatted,5,1.0,1.0,1.0
code,500,truncated,5,1.0,0.98,0.9
code,500,verbatim,5,1.0,1.0,1.0
prose,25,reformatted,5,1.0,0.94,0.75
prose,25,truncated,5,1.0,0.633,0.413
prose,25,verbatim,5,1.0,0.947,0.85
prose,50,reformatted,5,1.0,0.98,0.95
prose,50,truncated,5,1.0,0.856,0.675
prose,50,verbatim,5,1.0,1.0,1.0
prose,100,reformatted,5,1.0,1.0,1.0
prose,100,truncated,5,1.0,1.0,1.0
prose,100,verbatim,5,1.0,0.97,0.85
prose,200,reformatted,5,1.0,1.0,1.0
prose,200,truncated,5,1.0,1.0,1.0
prose,200,verbatim,5,1.0,1.0,1.0
prose,500,reformatted,5,1.0,1.0,1.0
prose,500,truncated,5,1.0,1.0,1.0
prose,500,verbatim,5,1.0,1.0,1.0
structured,25,reformatted,5,1.0,0.69,0.55
structured,25,truncated,5,1.0,0.598,0.279
structured,25,verbatim,5,1.0,0.863,0.731
structured,50,reformatted,5,1.0,0.997,0.986
structured,50,truncated,5,1.0,0.79,0.726
structured,50,verbatim,5,1.0,0.959,0.796
structured,100,reformatted,5,1.0,1.0,1.0
structured,100,truncated,5,1.0,1.0,1.0
structured,100,verbatim,5,1.0,1.0,1.0
structured,200,reformatted,5,1.0,1.0,1.0
structured,200,truncated,5,0.8,0.795,0.05
structured,200,verbatim,5,1.0,1.0,1.0
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,1.0,1.0
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,reformatted,5,1.0,0.59,0.275
terse,25,truncated,5,1.0,0.385,0.25
terse,25,verbatim,5,1.0,0.752,0.614
terse,50,reformatted,5,1.0,0.697,0.554
terse,50,truncated,5,1.0,0.724,0.35
terse,50,verbatim,5,1.0,0.76,0.35
terse,100,reformatted,5,1.0,0.831,0.726
terse,100,truncated,5,1.0,0.965,0.85
terse,100,verbatim,5,1.0,1.0,1.0
terse,200,reformatted,5,1.0,1.0,1.0
terse,200,truncated,5,1.0,1.0,1.0
terse,200,verbatim,5,1.0,1.0,1.0
